Question;Reponse
En quoi consiste le MOS ?;MOS = Mean Opinion Score, c'est la note d'opinion moyenne d'une communication qui correspond a la qualite de cette derniere, la note est sur 5.
Que faut il mettre en place dans une entreprise pour prendre en compte correctement les appels et eviter qu'ils soient rediriger n'importe comment,  Ou bien qu'il soit correctement rediriger vers quelqu'un ?;Il faut mettre en place un processus d'appel qui va donner un circuit d'appel. 
RTCP c'est quoi ?;C'est un protocole de contrôle des flux RTP, permettant de vehiculer des informations basiques sur les participants d'une session, et sur la qualite de service
C'est quoi l'ordonnancement ?;C'est la methode qui est utilisee pour modifier l'ordre des paquets / requêtes.
Citez des methodes d'ordonnancement qui sont utilisees dans le cadre de la QOS pour la VOIP ? ;le Low Latency Queuing, le Fair Queuing, ... 
Quel port est utilise pour RTP ? Et RTCP ? ;RTP = 5004 et RTCP = 5005 
Quels sont les ports utilises par SIP et la version securise SIPs ?;SIP = 5060 et SIPs = 5061
Une fois que la voix a ete encode par un codec, par exemple G711, elle doit être vehiculee par un protocole, de quelle couche du modele OSI le protocole doit être ?;La voix une fois encodee, doit être vehiculee par un protocole de couche 5.
A quoi correspond le champ [CC] dans un paquet RTP ?;[CC] = Le nombre de contributeurs , tres utile dans le cas d'une conference, ...
C'est quoi un Mixer ? A quoi ça sert ?;Le Mixer est un element qui centralise les informations des paquets RTP de plusieurs participants d'une communication (conference) et Il est charge de generer un paquet contenant le cumul de celles-ci qui sera adresse a tous les participants.
J'ai des problemes de telephonie au sein de mon entreprise, a priori le delai de latence serait trop long, quelles solutions me proposez-vous ?;Il faut identifier la cause mais principalement : Eviter la serialisation des routeurs, switchs, augmentation des debits des lignes, preferer la commutation plutôt que le routage (pour la route).
A partir de combien de ms la gigue pose probleme ?;La variation de la latence pose probleme au dela de 75 ms. 
Citez les 2 protocoles de signalisation les plus utilises ?;SIP et H.323
Le SIP registrar c'est quoi ?;C’est l’equipement responsable de l’enregistrement des clients disponibles de son domaine SIP. Il reference leur statut et adresse IP
